zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
35259,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36130,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36131,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36132,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36133,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36134,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36135,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35013,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35010,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35014,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35015,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36732,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36072,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36509,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36505,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36504,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36503,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36202,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36203,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36201,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36206,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36207,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36204,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36205,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35119,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35118,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35117,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35116,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35115,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35114,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35112,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35111,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36628,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36625,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36427,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35579,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35578,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35571,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35573,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35572,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35575,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35574,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
35577,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36858,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
36853,195,Alabama Power Co,AL,Bundled,Investor Owned,0.106687294133,0.0597718949918,0.11598943111
